#ID               Station ID
#LAT              Latitude (NAD27, decimal degrees)
#LONG             Longitude (NAD27, decimal degrees)
#UTM10x_NAD83     Easting (NAD83 Zone 10N, meters)
#UTM10y_NAD83     Northing (NAD83 Zone 10N, meters)
#ELEV_m           Elevation (NGVD29, meters)
#CBA              Complete Bouger Anomaly (mGal)
#ISO              Isostatic Anomaly (mGal)
#OG               Observed Gravity (mGal)
#FTC              Field Terrain Correction (calculated out to 68m from station, mGal)
#TTC              Total Terrain Correction (calculated from 68m to 166.7km from station, mGal)

ID,LAT,LONG,UTM10x_NAD83,UTM10y_NAD83,ELEV_M,CBA,ISO,OG,FTC,TTC
19GY2564,39.14173133,-123.00194800,499737.837,4332490.521,416.760,-32.336,4.684,979973.299,0.070,5.690
19GY2565,39.17520733,-123.01706767,498431.877,4336205.564,420.780,-38.234,-0.064,979969.390,0.020,5.880
19GY2566,39.18595600,-123.02670233,497599.984,4337398.573,419.500,-39.887,-1.497,979969.608,0.020,5.210
19GY2567,39.20752317,-123.06089133,494648.788,4339793.372,323.680,-39.333,-1.043,979988.910,0.040,7.100
19GY2568,39.16945067,-123.00558133,499424.030,4335566.609,415.920,-38.758,-0.518,979970.495,0.000,4.690
19GY2569,39.19116133,-122.99280183,500527.825,4337975.908,510.200,-43.564,-3.904,979950.641,0.100,3.230
19GY2570,39.20584033,-122.98559367,501150.067,4339604.955,441.060,-43.886,-3.226,979964.406,0.060,3.960
19GY2571,39.18626633,-122.95555467,503744.782,4337433.613,414.430,-44.786,-4.246,979968.558,0.020,2.380
19GY2572,39.17068100,-122.93477533,505540.668,4335705.153,411.470,-45.321,-5.051,979967.561,0.020,2.040
19GY2573,39.17651967,-122.91043283,507642.874,4336354.879,414.810,-46.142,-5.012,979966.555,0.010,2.090
19GY2574,39.19197867,-122.90709133,507929.751,4338070.697,423.440,-45.547,-3.567,979965.612,0.060,3.310
19GY2575,39.19719550,-122.89603000,508884.340,4338650.661,424.080,-44.400,-1.910,979965.226,0.020,5.180
19GY2576,39.17133300,-122.88956183,509446.383,4335781.289,416.470,-44.512,-3.232,979967.191,0.010,2.300
19GY2577,39.06158200,-123.02919217,497380.506,4323596.665,766.550,-29.710,2.600,979903.492,0.030,2.620
19GY2578,39.07504583,-123.02413900,497818.099,4325090.624,778.750,-30.543,2.517,979900.464,0.120,3.620
19GY2579,39.13347667,-122.88751367,509628.521,4331580.508,402.050,-43.876,-4.466,979968.143,0.000,1.450
19GY2580,39.14176700,-122.86021133,511986.881,4332503.781,518.320,-37.839,2.351,979949.744,0.050,3.890
19GY2581,39.15696917,-122.87041250,511102.875,4334189.489,639.320,-40.556,0.144,979923.821,0.130,4.780
19GY2582,39.15094733,-122.86317283,511729.409,4333522.151,779.920,-39.398,1.002,979891.509,0.140,10.210
19GY2583,39.14879217,-122.87444583,510755.640,4333281.580,504.220,-41.770,-1.420,979950.102,0.100,2.980
19GY2584,39.21847433,-122.93439533,505569.657,4341008.942,441.650,-46.371,-3.651,979962.245,0.020,4.640
19GY2585,39.22227933,-122.96009283,503351.076,4341429.904,854.030,-46.066,-4.156,979880.827,0.090,6.040
19GY2586,39.20782717,-122.94707667,504475.602,4339826.676,771.910,-46.282,-4.692,979895.651,0.040,5.790
19GY2587,39.23694833,-122.94422667,504719.682,4343058.499,446.540,-45.784,-2.354,979962.523,0.010,5.630
