Numero ^ Tunnus ^ Osasto ^ Vuosi ^ Reikanro ^ Kl100 ^ Yht_X ^ Yht_Y ^ Kkj_X ^ Kkj_y ^ Z ^ Syvyys ^ Kaltevuus ^ Suunta
int ^ char ^ char ^ int ^ char ^ char ^ int ^ int ^ int ^ int ^ real ^ real ^ real ^ real
2094 ^ M371493R740    ^ M ^ 93 ^ 740    ^ 3714 ^ 7512604 ^ 3498708 ^ 7512604 ^ 3498707 ^ 234.80 ^ 0.00 ^ 90.00 ^ 0.00
2095 ^ M371493R740    ^ M ^ 93 ^ 740    ^ 3714 ^ 7512604 ^ 3498708 ^ 7512604 ^ 3498707 ^ 234.80 ^ 39.70 ^ 90.00 ^ 0.00
2096 ^ M371493R741    ^ M ^ 93 ^ 741    ^ 3714 ^ 7512605 ^ 3498759 ^ 7512605 ^ 3498758 ^ 233.87 ^ 0.00 ^ 90.00 ^ 0.00
2097 ^ M371493R741    ^ M ^ 93 ^ 741    ^ 3714 ^ 7512605 ^ 3498759 ^ 7512605 ^ 3498758 ^ 233.87 ^ 42.40 ^ 90.00 ^ 0.00
2098 ^ M371493R742    ^ M ^ 93 ^ 742    ^ 3714 ^ 7512456 ^ 3498757 ^ 7512456 ^ 3498756 ^ 237.48 ^ 0.00 ^ 90.00 ^ 0.00
2099 ^ M371493R742    ^ M ^ 93 ^ 742    ^ 3714 ^ 7512456 ^ 3498757 ^ 7512456 ^ 3498756 ^ 237.48 ^ 40.00 ^ 90.00 ^ 0.00
2100 ^ M371493R743    ^ M ^ 93 ^ 743    ^ 3714 ^ 7512458 ^ 3498709 ^ 7512458 ^ 3498708 ^ 236.40 ^ 0.00 ^ 90.00 ^ 0.00
2101 ^ M371493R743    ^ M ^ 93 ^ 743    ^ 3714 ^ 7512458 ^ 3498709 ^ 7512458 ^ 3498708 ^ 236.40 ^ 41.70 ^ 90.00 ^ 0.00
2102 ^ M371493R744    ^ M ^ 93 ^ 744    ^ 3714 ^ 7512356 ^ 3498758 ^ 7512356 ^ 3498757 ^ 236.55 ^ 0.00 ^ 90.00 ^ 0.00
2103 ^ M371493R744    ^ M ^ 93 ^ 744    ^ 3714 ^ 7512356 ^ 3498758 ^ 7512356 ^ 3498757 ^ 236.55 ^ 42.50 ^ 90.00 ^ 0.00
2104 ^ M371493R745    ^ M ^ 93 ^ 745    ^ 3714 ^ 7512353 ^ 3498857 ^ 7512353 ^ 3498856 ^ 236.81 ^ 0.00 ^ 90.00 ^ 0.00
2105 ^ M371493R745    ^ M ^ 93 ^ 745    ^ 3714 ^ 7512353 ^ 3498857 ^ 7512353 ^ 3498856 ^ 236.81 ^ 40.10 ^ 90.00 ^ 0.00
2106 ^ M371493R746    ^ M ^ 93 ^ 746    ^ 3714 ^ 7512357 ^ 3498708 ^ 7512357 ^ 3498707 ^ 235.90 ^ 0.00 ^ 90.00 ^ 0.00
2107 ^ M371493R746    ^ M ^ 93 ^ 746    ^ 3714 ^ 7512357 ^ 3498708 ^ 7512357 ^ 3498707 ^ 235.90 ^ 39.55 ^ 90.00 ^ 0.00
2108 ^ M371493R747    ^ M ^ 93 ^ 747    ^ 3714 ^ 7512304 ^ 3498708 ^ 7512304 ^ 3498707 ^ 235.90 ^ 0.00 ^ 90.00 ^ 0.00
2109 ^ M371493R747    ^ M ^ 93 ^ 747    ^ 3714 ^ 7512304 ^ 3498708 ^ 7512304 ^ 3498707 ^ 235.90 ^ 42.15 ^ 90.00 ^ 0.00
2110 ^ M371493R748    ^ M ^ 93 ^ 748    ^ 3714 ^ 7512405 ^ 3498657 ^ 7512405 ^ 3498656 ^ 235.39 ^ 0.00 ^ 90.00 ^ 0.00
2111 ^ M371493R748    ^ M ^ 93 ^ 748    ^ 3714 ^ 7512405 ^ 3498657 ^ 7512405 ^ 3498656 ^ 235.39 ^ 42.15 ^ 90.00 ^ 0.00
2112 ^ M371493R749    ^ M ^ 93 ^ 749    ^ 3714 ^ 7512305 ^ 3498662 ^ 7512305 ^ 3498661 ^ 234.28 ^ 0.00 ^ 90.00 ^ 0.00
2113 ^ M371493R749    ^ M ^ 93 ^ 749    ^ 3714 ^ 7512305 ^ 3498662 ^ 7512305 ^ 3498661 ^ 234.28 ^ 41.00 ^ 90.00 ^ 0.00
2114 ^ M371493R750    ^ M ^ 93 ^ 750    ^ 3714 ^ 7512253 ^ 3498658 ^ 7512253 ^ 3498657 ^ 233.28 ^ 0.00 ^ 90.00 ^ 0.00
2115 ^ M371493R750    ^ M ^ 93 ^ 750    ^ 3714 ^ 7512253 ^ 3498658 ^ 7512253 ^ 3498657 ^ 233.28 ^ 42.60 ^ 90.00 ^ 0.00
2116 ^ M371493R751    ^ M ^ 93 ^ 751    ^ 3714 ^ 7512255 ^ 3498555 ^ 7512255 ^ 3498554 ^ 230.65 ^ 0.00 ^ 90.00 ^ 0.00
2117 ^ M371493R751    ^ M ^ 93 ^ 751    ^ 3714 ^ 7512255 ^ 3498555 ^ 7512255 ^ 3498554 ^ 230.65 ^ 51.40 ^ 90.00 ^ 0.00
2118 ^ M371493R752    ^ M ^ 93 ^ 752    ^ 3714 ^ 7512205 ^ 3498558 ^ 7512205 ^ 3498557 ^ 229.58 ^ 0.00 ^ 90.00 ^ 0.00
2119 ^ M371493R752    ^ M ^ 93 ^ 752    ^ 3714 ^ 7512205 ^ 3498558 ^ 7512205 ^ 3498557 ^ 229.58 ^ 41.00 ^ 90.00 ^ 0.00
2120 ^ M371493R753    ^ M ^ 93 ^ 753    ^ 3714 ^ 7512206 ^ 3498606 ^ 7512206 ^ 3498605 ^ 231.83 ^ 0.00 ^ 90.00 ^ 0.00
2121 ^ M371493R753    ^ M ^ 93 ^ 753    ^ 3714 ^ 7512206 ^ 3498606 ^ 7512206 ^ 3498605 ^ 231.83 ^ 42.35 ^ 90.00 ^ 0.00
2122 ^ M371493R754    ^ M ^ 93 ^ 754    ^ 3714 ^ 7512254 ^ 3498606 ^ 7512254 ^ 3498605 ^ 232.05 ^ 0.00 ^ 90.00 ^ 0.00
2123 ^ M371493R754    ^ M ^ 93 ^ 754    ^ 3714 ^ 7512254 ^ 3498606 ^ 7512254 ^ 3498605 ^ 232.05 ^ 40.75 ^ 90.00 ^ 0.00
2124 ^ M371493R755    ^ M ^ 93 ^ 755    ^ 3714 ^ 7512305 ^ 3498606 ^ 7512305 ^ 3498605 ^ 232.03 ^ 0.00 ^ 90.00 ^ 0.00
2125 ^ M371493R755    ^ M ^ 93 ^ 755    ^ 3714 ^ 7512305 ^ 3498606 ^ 7512305 ^ 3498605 ^ 232.03 ^ 41.30 ^ 90.00 ^ 0.00
2126 ^ M371493R756    ^ M ^ 93 ^ 756    ^ 3714 ^ 7512354 ^ 3498605 ^ 7512354 ^ 3498604 ^ 232.71 ^ 0.00 ^ 90.00 ^ 0.00
2127 ^ M371493R756    ^ M ^ 93 ^ 756    ^ 3714 ^ 7512354 ^ 3498605 ^ 7512354 ^ 3498604 ^ 232.71 ^ 42.20 ^ 90.00 ^ 0.00
2128 ^ M371493R757    ^ M ^ 93 ^ 757    ^ 3714 ^ 7512404 ^ 3498610 ^ 7512404 ^ 3498609 ^ 233.92 ^ 0.00 ^ 90.00 ^ 0.00
2129 ^ M371493R757    ^ M ^ 93 ^ 757    ^ 3714 ^ 7512404 ^ 3498610 ^ 7512404 ^ 3498609 ^ 233.92 ^ 42.75 ^ 90.00 ^ 0.00
2130 ^ M371493R758    ^ M ^ 93 ^ 758    ^ 3714 ^ 7512453 ^ 3498605 ^ 7512453 ^ 3498604 ^ 234.19 ^ 0.00 ^ 90.00 ^ 0.00
2131 ^ M371493R758    ^ M ^ 93 ^ 758    ^ 3714 ^ 7512453 ^ 3498605 ^ 7512453 ^ 3498604 ^ 234.19 ^ 43.10 ^ 90.00 ^ 0.00
2132 ^ M371493R759    ^ M ^ 93 ^ 759    ^ 3714 ^ 7512554 ^ 3498609 ^ 7512554 ^ 3498608 ^ 234.61 ^ 0.00 ^ 90.00 ^ 0.00
2133 ^ M371493R759    ^ M ^ 93 ^ 759    ^ 3714 ^ 7512554 ^ 3498609 ^ 7512554 ^ 3498608 ^ 234.61 ^ 52.00 ^ 90.00 ^ 0.00
2134 ^ M371493R760    ^ M ^ 93 ^ 760    ^ 3714 ^ 7512604 ^ 3498610 ^ 7512604 ^ 3498609 ^ 235.34 ^ 0.00 ^ 90.00 ^ 0.00
2135 ^ M371493R760    ^ M ^ 93 ^ 760    ^ 3714 ^ 7512604 ^ 3498610 ^ 7512604 ^ 3498609 ^ 235.34 ^ 43.00 ^ 90.00 ^ 0.00
2136 ^ M371493R761    ^ M ^ 93 ^ 761    ^ 3714 ^ 7512540 ^ 3498662 ^ 7512540 ^ 3498661 ^ 235.80 ^ 0.00 ^ 90.00 ^ 0.00
2137 ^ M371493R761    ^ M ^ 93 ^ 761    ^ 3714 ^ 7512540 ^ 3498662 ^ 7512540 ^ 3498661 ^ 235.80 ^ 42.00 ^ 90.00 ^ 0.00
2138 ^ M371493R762    ^ M ^ 93 ^ 762    ^ 3714 ^ 7512603 ^ 3498557 ^ 7512603 ^ 3498556 ^ 232.48 ^ 0.00 ^ 90.00 ^ 0.00
2139 ^ M371493R762    ^ M ^ 93 ^ 762    ^ 3714 ^ 7512603 ^ 3498557 ^ 7512603 ^ 3498556 ^ 232.48 ^ 40.00 ^ 90.00 ^ 0.00
2140 ^ M371493R763    ^ M ^ 93 ^ 763    ^ 3714 ^ 7512554 ^ 3498558 ^ 7512554 ^ 3498557 ^ 231.78 ^ 0.00 ^ 90.00 ^ 0.00
2141 ^ M371493R763    ^ M ^ 93 ^ 763    ^ 3714 ^ 7512554 ^ 3498558 ^ 7512554 ^ 3498557 ^ 231.78 ^ 40.80 ^ 90.00 ^ 0.00
2142 ^ M371493R764    ^ M ^ 93 ^ 764    ^ 3714 ^ 7512454 ^ 3498558 ^ 7512454 ^ 3498557 ^ 231.96 ^ 0.00 ^ 90.00 ^ 0.00
2143 ^ M371493R764    ^ M ^ 93 ^ 764    ^ 3714 ^ 7512454 ^ 3498558 ^ 7512454 ^ 3498557 ^ 231.96 ^ 43.00 ^ 90.00 ^ 0.00
2144 ^ M371493R765    ^ M ^ 93 ^ 765    ^ 3714 ^ 7512343 ^ 3498556 ^ 7512343 ^ 3498555 ^ 230.48 ^ 0.00 ^ 90.00 ^ 0.00
2145 ^ M371493R765    ^ M ^ 93 ^ 765    ^ 3714 ^ 7512343 ^ 3498556 ^ 7512343 ^ 3498555 ^ 230.48 ^ 42.50 ^ 90.00 ^ 0.00
2146 ^ M371493R766    ^ M ^ 93 ^ 766    ^ 3714 ^ 7512304 ^ 3498557 ^ 7512304 ^ 3498556 ^ 230.32 ^ 0.00 ^ 90.00 ^ 0.00
2147 ^ M371493R766    ^ M ^ 93 ^ 766    ^ 3714 ^ 7512304 ^ 3498557 ^ 7512304 ^ 3498556 ^ 230.32 ^ 39.65 ^ 90.00 ^ 0.00
2148 ^ M371493R767    ^ M ^ 93 ^ 767    ^ 3714 ^ 7512204 ^ 3498506 ^ 7512204 ^ 3498505 ^ 227.57 ^ 0.00 ^ 90.00 ^ 0.00
2149 ^ M371493R767    ^ M ^ 93 ^ 767    ^ 3714 ^ 7512204 ^ 3498506 ^ 7512204 ^ 3498505 ^ 227.57 ^ 42.65 ^ 90.00 ^ 0.00
2150 ^ M371493R768    ^ M ^ 93 ^ 768    ^ 3714 ^ 7512259 ^ 3498508 ^ 7512259 ^ 3498507 ^ 228.25 ^ 0.00 ^ 90.00 ^ 0.00
2151 ^ M371493R768    ^ M ^ 93 ^ 768    ^ 3714 ^ 7512259 ^ 3498508 ^ 7512259 ^ 3498507 ^ 228.25 ^ 40.50 ^ 90.00 ^ 0.00
2152 ^ M371493R769    ^ M ^ 93 ^ 769    ^ 3714 ^ 7512304 ^ 3498508 ^ 7512304 ^ 3498507 ^ 228.46 ^ 0.00 ^ 90.00 ^ 0.00
2153 ^ M371493R769    ^ M ^ 93 ^ 769    ^ 3714 ^ 7512304 ^ 3498508 ^ 7512304 ^ 3498507 ^ 228.46 ^ 42.95 ^ 90.00 ^ 0.00
2154 ^ M371493R770    ^ M ^ 93 ^ 770    ^ 3714 ^ 7512354 ^ 3498509 ^ 7512354 ^ 3498508 ^ 228.65 ^ 0.00 ^ 90.00 ^ 0.00
2155 ^ M371493R770    ^ M ^ 93 ^ 770    ^ 3714 ^ 7512354 ^ 3498509 ^ 7512354 ^ 3498508 ^ 228.65 ^ 39.80 ^ 90.00 ^ 0.00
2156 ^ M371493R771    ^ M ^ 93 ^ 771    ^ 3714 ^ 7512405 ^ 3498509 ^ 7512405 ^ 3498508 ^ 229.04 ^ 0.00 ^ 90.00 ^ 0.00
2157 ^ M371493R771    ^ M ^ 93 ^ 771    ^ 3714 ^ 7512405 ^ 3498509 ^ 7512405 ^ 3498508 ^ 229.04 ^ 42.05 ^ 90.00 ^ 0.00
2158 ^ M371493R772    ^ M ^ 93 ^ 772    ^ 3714 ^ 7512453 ^ 3498508 ^ 7512453 ^ 3498507 ^ 229.25 ^ 0.00 ^ 90.00 ^ 0.00
2159 ^ M371493R772    ^ M ^ 93 ^ 772    ^ 3714 ^ 7512453 ^ 3498508 ^ 7512453 ^ 3498507 ^ 229.25 ^ 42.65 ^ 90.00 ^ 0.00
2160 ^ M371493R773    ^ M ^ 93 ^ 773    ^ 3714 ^ 7512561 ^ 3498498 ^ 7512561 ^ 3498497 ^ 229.46 ^ 0.00 ^ 90.00 ^ 0.00
2161 ^ M371493R773    ^ M ^ 93 ^ 773    ^ 3714 ^ 7512561 ^ 3498498 ^ 7512561 ^ 3498497 ^ 229.46 ^ 41.30 ^ 90.00 ^ 0.00
2162 ^ M371493R774    ^ M ^ 93 ^ 774    ^ 3714 ^ 7512601 ^ 3498507 ^ 7512601 ^ 3498506 ^ 229.77 ^ 0.00 ^ 90.00 ^ 0.00
2163 ^ M371493R774    ^ M ^ 93 ^ 774    ^ 3714 ^ 7512601 ^ 3498507 ^ 7512601 ^ 3498506 ^ 229.77 ^ 41.35 ^ 90.00 ^ 0.00
2164 ^ M371493R775    ^ M ^ 93 ^ 775    ^ 3714 ^ 7512254 ^ 3498700 ^ 7512254 ^ 3498699 ^ 234.29 ^ 0.00 ^ 90.00 ^ 0.00
2165 ^ M371493R775    ^ M ^ 93 ^ 775    ^ 3714 ^ 7512254 ^ 3498700 ^ 7512254 ^ 3498699 ^ 234.29 ^ 40.00 ^ 90.00 ^ 0.00
2166 ^ M371493R776    ^ M ^ 93 ^ 776    ^ 3714 ^ 7512205 ^ 3498707 ^ 7512205 ^ 3498706 ^ 233.66 ^ 0.00 ^ 90.00 ^ 0.00
2167 ^ M371493R776    ^ M ^ 93 ^ 776    ^ 3714 ^ 7512205 ^ 3498707 ^ 7512205 ^ 3498706 ^ 233.66 ^ 42.50 ^ 90.00 ^ 0.00
2168 ^ M371493R777    ^ M ^ 93 ^ 777    ^ 3714 ^ 7512204 ^ 3498808 ^ 7512204 ^ 3498807 ^ 235.12 ^ 0.00 ^ 90.00 ^ 0.00
2169 ^ M371493R777    ^ M ^ 93 ^ 777    ^ 3714 ^ 7512204 ^ 3498808 ^ 7512204 ^ 3498807 ^ 235.12 ^ 41.75 ^ 90.00 ^ 0.00
2170 ^ M371493R778    ^ M ^ 93 ^ 778    ^ 3714 ^ 7512206 ^ 3498958 ^ 7512206 ^ 3498957 ^ 234.35 ^ 0.00 ^ 90.00 ^ 0.00
2171 ^ M371493R778    ^ M ^ 93 ^ 778    ^ 3714 ^ 7512206 ^ 3498958 ^ 7512206 ^ 3498957 ^ 234.35 ^ 40.50 ^ 90.00 ^ 0.00
2172 ^ M371493R779    ^ M ^ 93 ^ 779    ^ 3714 ^ 7512205 ^ 3499008 ^ 7512205 ^ 3499007 ^ 234.09 ^ 0.00 ^ 90.00 ^ 0.00
2173 ^ M371493R779    ^ M ^ 93 ^ 779    ^ 3714 ^ 7512205 ^ 3499008 ^ 7512205 ^ 3499007 ^ 234.09 ^ 45.00 ^ 90.00 ^ 0.00
2174 ^ M371493R780    ^ M ^ 93 ^ 780    ^ 3714 ^ 7512355 ^ 3499014 ^ 7512355 ^ 3499013 ^ 233.87 ^ 0.00 ^ 90.00 ^ 0.00
2175 ^ M371493R780    ^ M ^ 93 ^ 780    ^ 3714 ^ 7512355 ^ 3499014 ^ 7512355 ^ 3499013 ^ 233.87 ^ 39.25 ^ 90.00 ^ 0.00
2176 ^ M371493R781    ^ M ^ 93 ^ 781    ^ 3714 ^ 7512204 ^ 3499058 ^ 7512204 ^ 3499057 ^ 235.62 ^ 0.00 ^ 90.00 ^ 0.00
2177 ^ M371493R781    ^ M ^ 93 ^ 781    ^ 3714 ^ 7512204 ^ 3499058 ^ 7512204 ^ 3499057 ^ 235.62 ^ 26.95 ^ 90.00 ^ 0.00
2178 ^ M371493R782    ^ M ^ 93 ^ 782    ^ 3714 ^ 7512206 ^ 3499107 ^ 7512206 ^ 3499106 ^ 235.02 ^ 0.00 ^ 90.00 ^ 0.00
2179 ^ M371493R782    ^ M ^ 93 ^ 782    ^ 3714 ^ 7512206 ^ 3499107 ^ 7512206 ^ 3499106 ^ 235.02 ^ 40.25 ^ 90.00 ^ 0.00
2180 ^ M371493R783    ^ M ^ 93 ^ 783    ^ 3714 ^ 7512300 ^ 3499060 ^ 7512300 ^ 3499059 ^ 234.44 ^ 0.00 ^ 90.00 ^ 0.00
2181 ^ M371493R783    ^ M ^ 93 ^ 783    ^ 3714 ^ 7512300 ^ 3499060 ^ 7512300 ^ 3499059 ^ 234.44 ^ 29.50 ^ 90.00 ^ 0.00
2182 ^ M371493R784    ^ M ^ 93 ^ 784    ^ 3714 ^ 7512351 ^ 3499063 ^ 7512351 ^ 3499062 ^ 234.25 ^ 0.00 ^ 90.00 ^ 0.00
2183 ^ M371493R784    ^ M ^ 93 ^ 784    ^ 3714 ^ 7512351 ^ 3499063 ^ 7512351 ^ 3499062 ^ 234.25 ^ 40.05 ^ 90.00 ^ 0.00
2184 ^ M371493R785    ^ M ^ 93 ^ 785    ^ 3714 ^ 7512401 ^ 3499067 ^ 7512401 ^ 3499066 ^ 233.85 ^ 0.00 ^ 90.00 ^ 0.00
2185 ^ M371493R785    ^ M ^ 93 ^ 785    ^ 3714 ^ 7512401 ^ 3499067 ^ 7512401 ^ 3499066 ^ 233.85 ^ 39.85 ^ 90.00 ^ 0.00
2186 ^ M371493R786    ^ M ^ 93 ^ 786    ^ 3714 ^ 7512295 ^ 3499110 ^ 7512295 ^ 3499109 ^ 239.06 ^ 0.00 ^ 90.00 ^ 0.00
2187 ^ M371493R786    ^ M ^ 93 ^ 786    ^ 3714 ^ 7512295 ^ 3499110 ^ 7512295 ^ 3499109 ^ 239.06 ^ 42.50 ^ 90.00 ^ 0.00
2188 ^ M371493R787    ^ M ^ 93 ^ 787    ^ 3714 ^ 7512346 ^ 3499114 ^ 7512346 ^ 3499113 ^ 240.15 ^ 0.00 ^ 90.00 ^ 0.00
2189 ^ M371493R787    ^ M ^ 93 ^ 787    ^ 3714 ^ 7512346 ^ 3499114 ^ 7512346 ^ 3499113 ^ 240.15 ^ 40.50 ^ 90.00 ^ 0.00
2190 ^ M371493R788    ^ M ^ 93 ^ 788    ^ 3714 ^ 7512452 ^ 3499071 ^ 7512452 ^ 3499070 ^ 233.21 ^ 0.00 ^ 90.00 ^ 0.00
2191 ^ M371493R788    ^ M ^ 93 ^ 788    ^ 3714 ^ 7512452 ^ 3499071 ^ 7512452 ^ 3499070 ^ 233.21 ^ 37.60 ^ 90.00 ^ 0.00
2192 ^ M371493R789    ^ M ^ 93 ^ 789    ^ 3714 ^ 7512501 ^ 3499057 ^ 7512501 ^ 3499056 ^ 232.64 ^ 0.00 ^ 90.00 ^ 0.00
2193 ^ M371493R789    ^ M ^ 93 ^ 789    ^ 3714 ^ 7512501 ^ 3499057 ^ 7512501 ^ 3499056 ^ 232.64 ^ 40.05 ^ 90.00 ^ 0.00
2194 ^ M371493R790    ^ M ^ 93 ^ 790    ^ 3714 ^ 7512454 ^ 3499020 ^ 7512454 ^ 3499019 ^ 233.13 ^ 0.00 ^ 90.00 ^ 0.00
2195 ^ M371493R790    ^ M ^ 93 ^ 790    ^ 3714 ^ 7512454 ^ 3499020 ^ 7512454 ^ 3499019 ^ 233.13 ^ 41.15 ^ 90.00 ^ 0.00
2196 ^ M371493R791    ^ M ^ 93 ^ 791    ^ 3714 ^ 7512554 ^ 3499058 ^ 7512554 ^ 3499057 ^ 231.91 ^ 0.00 ^ 90.00 ^ 0.00
2197 ^ M371493R791    ^ M ^ 93 ^ 791    ^ 3714 ^ 7512554 ^ 3499058 ^ 7512554 ^ 3499057 ^ 231.91 ^ 40.50 ^ 90.00 ^ 0.00
2198 ^ M371493R792    ^ M ^ 93 ^ 792    ^ 3714 ^ 7512604 ^ 3499057 ^ 7512604 ^ 3499056 ^ 231.03 ^ 0.00 ^ 90.00 ^ 0.00
2199 ^ M371493R792    ^ M ^ 93 ^ 792    ^ 3714 ^ 7512604 ^ 3499057 ^ 7512604 ^ 3499056 ^ 231.03 ^ 40.25 ^ 90.00 ^ 0.00
2200 ^ M371493R793    ^ M ^ 93 ^ 793    ^ 3714 ^ 7512651 ^ 3499056 ^ 7512651 ^ 3499055 ^ 230.19 ^ 0.00 ^ 90.00 ^ 0.00
2201 ^ M371493R793    ^ M ^ 93 ^ 793    ^ 3714 ^ 7512651 ^ 3499056 ^ 7512651 ^ 3499055 ^ 230.19 ^ 9.55 ^ 90.00 ^ 0.00
2202 ^ M371493R794    ^ M ^ 93 ^ 794    ^ 3714 ^ 7512703 ^ 3499057 ^ 7512703 ^ 3499056 ^ 229.28 ^ 0.00 ^ 90.00 ^ 0.00
2203 ^ M371493R794    ^ M ^ 93 ^ 794    ^ 3714 ^ 7512703 ^ 3499057 ^ 7512703 ^ 3499056 ^ 229.28 ^ 40.40 ^ 90.00 ^ 0.00
2204 ^ M371493R795    ^ M ^ 93 ^ 795    ^ 3714 ^ 7512704 ^ 3499007 ^ 7512704 ^ 3499006 ^ 229.49 ^ 0.00 ^ 90.00 ^ 0.00
2205 ^ M371493R795    ^ M ^ 93 ^ 795    ^ 3714 ^ 7512704 ^ 3499007 ^ 7512704 ^ 3499006 ^ 229.49 ^ 40.95 ^ 90.00 ^ 0.00
2206 ^ M371493R796    ^ M ^ 93 ^ 796    ^ 3714 ^ 7512651 ^ 3499007 ^ 7512651 ^ 3499006 ^ 230.45 ^ 0.00 ^ 90.00 ^ 0.00
2207 ^ M371493R796    ^ M ^ 93 ^ 796    ^ 3714 ^ 7512651 ^ 3499007 ^ 7512651 ^ 3499006 ^ 230.45 ^ 41.35 ^ 90.00 ^ 0.00
2208 ^ M371493R797    ^ M ^ 93 ^ 797    ^ 3714 ^ 7512603 ^ 3499008 ^ 7512603 ^ 3499007 ^ 230.45 ^ 0.00 ^ 90.00 ^ 0.00
2209 ^ M371493R797    ^ M ^ 93 ^ 797    ^ 3714 ^ 7512603 ^ 3499008 ^ 7512603 ^ 3499007 ^ 230.45 ^ 42.45 ^ 90.00 ^ 0.00
2210 ^ M371493R798    ^ M ^ 93 ^ 798    ^ 3714 ^ 7512552 ^ 3499007 ^ 7512552 ^ 3499006 ^ 230.85 ^ 0.00 ^ 90.00 ^ 0.00
2211 ^ M371493R798    ^ M ^ 93 ^ 798    ^ 3714 ^ 7512552 ^ 3499007 ^ 7512552 ^ 3499006 ^ 230.85 ^ 40.20 ^ 90.00 ^ 0.00
2212 ^ M371493R799    ^ M ^ 93 ^ 799    ^ 3714 ^ 7512753 ^ 3498307 ^ 7512753 ^ 3498306 ^ 224.12 ^ 0.00 ^ 90.00 ^ 0.00
2213 ^ M371493R799    ^ M ^ 93 ^ 799    ^ 3714 ^ 7512753 ^ 3498307 ^ 7512753 ^ 3498306 ^ 224.12 ^ 43.00 ^ 90.00 ^ 0.00
2214 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 0.00 ^ 58.30 ^ 0.00
2215 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 10.00 ^ 58.30 ^ 0.00
2216 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 20.00 ^ 58.60 ^ 0.00
2217 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 30.00 ^ 58.40 ^ 0.00
2218 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 40.00 ^ 58.00 ^ 0.00
2219 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 50.00 ^ 58.00 ^ 0.00
2220 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 60.00 ^ 57.70 ^ 0.00
2221 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 70.00 ^ 57.90 ^ 0.00
2222 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 80.00 ^ 57.60 ^ 0.00
2223 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 90.00 ^ 57.40 ^ 0.00
2224 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 100.00 ^ 57.20 ^ 0.00
2225 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 110.00 ^ 56.80 ^ 0.00
2226 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 120.00 ^ 57.10 ^ 0.00
2227 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 130.00 ^ 57.10 ^ 0.00
2228 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 140.00 ^ 56.80 ^ 0.00
2229 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 150.00 ^ 56.60 ^ 0.00
2230 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 160.00 ^ 56.20 ^ 0.00
2231 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 170.00 ^ 56.00 ^ 0.00
2232 ^ M371493R800    ^ M ^ 93 ^ 800    ^ 3714 ^ 7512554 ^ 3498908 ^ 7512554 ^ 3498907 ^ 234.29 ^ 180.00 ^ 55.80 ^ 0.00
