Numero ^ Tunnus ^ Osasto ^ Vuosi ^ Reikanro ^ Kl100 ^ Yht_X ^ Yht_Y ^ Kkj_X ^ Kkj_y ^ Z ^ Syvyys ^ Kaltevuus ^ Suunta
int ^ char ^ char ^ int ^ char ^ char ^ int ^ int ^ int ^ int ^ real ^ real ^ real ^ real
56 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 140.00 ^ 50.50 ^ 360.00
57 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 150.00 ^ 50.50 ^ 360.00
58 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 153.80 ^ 50.50 ^ 360.00
59 ^ M371484R308    ^ M ^ 84 ^ 308    ^ 3714 ^ 7513300 ^ 3497251 ^ 7513300 ^ 3497250 ^ 221.00 ^ 0.00 ^ 51.80 ^ 360.00
60 ^ M371484R308    ^ M ^ 84 ^ 308    ^ 3714 ^ 7513300 ^ 3497251 ^ 7513300 ^ 3497250 ^ 221.00 ^ 10.00 ^ 52.00 ^ 360.00
61 ^ M371484R308    ^ M ^ 84 ^ 308    ^ 3714 ^ 7513300 ^ 3497251 ^ 7513300 ^ 3497250 ^ 221.00 ^ 20.00 ^ 52.20 ^ 360.00
62 ^ M371484R308    ^ M ^ 84 ^ 308    ^ 3714 ^ 7513300 ^ 3497251 ^ 7513300 ^ 3497250 ^ 221.00 ^ 30.00 ^ 52.20 ^ 360.00
63 ^ M371484R308    ^ M ^ 84 ^ 308    ^ 3714 ^ 7513300 ^ 3497251 ^ 7513300 ^ 3497250 ^ 221.00 ^ 40.00 ^ 52.20 ^ 360.00
64 ^ M371484R308    ^ M ^ 84 ^ 308    ^ 3714 ^ 7513300 ^ 3497251 ^ 7513300 ^ 3497250 ^ 221.00 ^ 50.00 ^ 52.30 ^ 360.00
65 ^ M371484R308    ^ M ^ 84 ^ 308    ^ 3714 ^ 7513300 ^ 3497251 ^ 7513300 ^ 3497250 ^ 221.00 ^ 60.00 ^ 52.30 ^ 360.00
66 ^ M371484R308    ^ M ^ 84 ^ 308    ^ 3714 ^ 7513300 ^ 3497251 ^ 7513300 ^ 3497250 ^ 221.00 ^ 70.00 ^ 52.30 ^ 360.00
67 ^ M371484R308    ^ M ^ 84 ^ 308    ^ 3714 ^ 7513300 ^ 3497251 ^ 7513300 ^ 3497250 ^ 221.00 ^ 80.00 ^ 52.30 ^ 360.00
68 ^ M371484R308    ^ M ^ 84 ^ 308    ^ 3714 ^ 7513300 ^ 3497251 ^ 7513300 ^ 3497250 ^ 221.00 ^ 90.00 ^ 52.20 ^ 360.00
